nombre;poblacion;superficie;continente
Argentina;45376763;2780400;America
Brasil;213993437;8515767;America
Chile;20000000;800000;America
Uruguay;3473727;176215;America
Paraguay;7132538;406752;America
Estados Unidos;331893745;9833517;America
Canada;38246108;9984670;America
Mexico;128932753;1964375;America
Alemania;83149300;357022;Europa
Francia;67391582;551695;Europa
Espana;47351567;505990;Europa
Italia;59554023;301340;Europa
Reino Unido;68207114;243610;Europa
Japon;125800000;377975;Asia
China;1412600000;9596961;Asia
India;1407563842;3287263;Asia
Corea del Sur;51780579;100210;Asia
Australia;25687041;7692024;Oceania
Nueva Zelanda;5122600;268021;Oceania
Sudafrica;59308690;1221037;Africa
Egipto;109262178;1002450;Africa
Nigeria;216746934;923768;Africa
Peru;34000000;1285216;America
Albania;2715000;28748;Europa
